,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14,text
57,en,your .. memory,,,,indianinchicago,Sun Dec 31 08:25:34 +0000 2017,0,1,1,False,0,True,,join - https : //t.co/27glujehxr next # binance $ drgn # bitcoin # neo # litecoin # ethereum # cardano # ripple # ripplexrp https : //t.co/flyt803epv
58,en,"Earth, Twitter and Hive",,,,runridefly,Sun Dec 31 08:15:14 +0000 2017,0,0,0,False,0,False,,know # cardano top three # coinmarketcap next month ’ idiot # nonprofessional investor #
59,en,San Francisco,,,,Cryptoid9,Sun Dec 31 07:35:17 +0000 2017,0,0,0,False,0,False,,"dec 30 night livestream - markets bear trend ? - cardano , smartcash , masternodes : https : //t.co/0k7wnrefus via @ youtube"
60,en,"Chicago, IL",,,,TradingViewBot,Sun Dec 31 06:40:11 +0000 2017,0,0,0,False,0,False,,cardano promise $ \u2026 $ adabtc https : //t.co/pl6j8rkk9r
61,en,Seattle,,,,muarafatan,Sun Dec 31 06:37:07 +0000 2017,0,0,0,False,0,False,,cardano better ethereum ? watch 👉https : //t.co/8okbjmjswp https : //t.co/a18ng18py0
62,en,"Ann Arbor, MI",,,,leprevostfv,Sun Dec 31 06:34:10 +0000 2017,0,0,0,False,0,False,,watched session @ iohk_charles # cardano . extremely refreshing see someone really knowing hes clear objective thoughts focus project . sure rare example memes profit-seekers crypto nowadays .
63,en,United States,,,,cryptocoinviz,Sun Dec 31 06:02:03 +0000 2017,0,0,0,False,0,False,,cardano | $ - 0.82 eod ? pretty please ? - https : //t.co/ac6tmm88sz
64,en,"Minnesota, USA",,,,mak93728437,Sun Dec 31 05:58:37 +0000 2017,0,0,0,False,0,False,,buy $ trx forget ripple cardano others beware
65,en,"California, USA",,,,cryptoworld23,Sun Dec 31 05:26:46 +0000 2017,0,2,2,False,0,False,,get positions still . # vergecurrency # xvg # wraithprotocol going moon use profits coins enter verge # xrp # ripple # # cardano # poe coin
66,en,"Hollywood, USA",,,,Chandra_Trauth,Sun Dec 31 05:26:24 +0000 2017,0,0,0,False,0,False,,rt ! - & gt ; cardano : latest crypto springboard new highs https : //t.co/woxup1aper # crypto
67,en,"Virginia, USA",,,,HR_Bitcoin,Sun Dec 31 05:02:31 +0000 2017,0,0,0,False,0,False,,"cardano crushes , ripple stays steady # 2 bitcoin 's dominance slips https : //t.co/ixlsdzjpwg"
68,en,"Atlanta, GA",,,,KyleWallon,Sun Dec 31 05:00:34 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/kpcvfebhjo live : charles hoskinson cardano !
69,en,"Rancho Cucamonga, CA",,,,Samuel909_,Sun Dec 31 04:58:14 +0000 2017,0,0,0,False,0,False,,"currently litecoin , ripple , electroneum , ethereum cardano ! 🚀 🚀 🌙 🌙"
70,en,"Charlotte, NC",,,,TheLastCrypto,Sun Dec 31 04:45:23 +0000 2017,0,2,0,False,0,False,,# verge # wraithprotocol lift ! look # xvg # coinmarketcap # invest price still relatively low . # cryptocurrency # bitcoin # cardano # # deeponion # anonymous # youmakethechoice # komodo # kmd # xrp # eth # pumpupthejam https : //t.co/jd9p2ujofc
71,en,New York,,,,pamperfashion,Sun Dec 31 04:42:02 +0000 2017,0,0,0,False,0,False,,icymi : gmlcpa accepting bitcoin first quarter new year @ matrixthinker # crowdsale # blockchain # ico # cryptocurrency # bitcoin # ethereum # ripple # litecoin # cardano # verge # stellar # tron https : //t.co/mferl1lt63 https : //t.co/xbk35bymgn
72,en,"California, USA",,,,CyrptoNut,Sun Dec 31 04:38:21 +0000 2017,0,1,0,False,0,False,,"quick look $ cardano 's mc nearing 17.7 billion , 4 billion days ago https : //t.co/u7u6cn7htm"
