text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
Cardano (ADA) increased 13.68% in 24 hours #Bitcoin #BTC #ETH #LTC #BCH https://t.co/WI8yw4wDSg,en,Cryptocredits Wallet,,,,Cryptocredit,Sun Dec 31 17:01:35 +0000 2017,0,0,0,False,0,False,
Cardano (ADA) Top Predictions for 2018 #Bitcoin #BTC #ETH #LTC #BCH https://t.co/eS7QEHhPWM,en,Cryptocredits Wallet,,,,Cryptocredit,Sun Dec 31 16:58:52 +0000 2017,0,0,0,False,0,False,
Good article to read in order to understand Cardano. https://t.co/YmpMLS0XUE,en,"Bend, Oregon",,,,DesertButtercup,Sun Dec 31 16:41:33 +0000 2017,0,0,0,False,0,True,
#Cardano ADA is a decentralised public blockchain and cryptocurrency project and is fully open… https://t.co/IvC2CoawzF,en,Corona ca.,,,,JaimeMorales_77,Sun Dec 31 16:31:20 +0000 2017,0,0,0,False,0,False,
Xrp is down a little bit this morning. But cardano is up 38%. Been looking into buying some  for… https://t.co/dFr8tPkPfT,en,United States,,,,Cryptowynn76791,Sun Dec 31 16:03:59 +0000 2017,0,0,0,False,0,False,
Is that ADA boat is at port?  #Cardano #crypto #altcoin #ADA,en,,,,,gotgark,Sun Dec 31 14:48:55 +0000 2017,0,0,0,False,0,False,
"Cardano: Ethereum &amp; NEO Killer or Over-Price + Over Valued? 
https://t.co/ULEoB5V3qP via @YouTube",en,"Houston, TX",,,,Techken2,Sun Dec 31 14:46:31 +0000 2017,0,0,0,False,0,False,
#wow I need to up my cardano_ada and verge_currency position. #altcoin in #2018 @ New York… https://t.co/Of1S8PWFEe,en,NYC,,,,iamtheroar,Sun Dec 31 14:11:24 +0000 2017,0,0,0,False,0,False,
"VOTE for your favorite #cryptocurrency in 2018 to surpass #Bitcoin, Vote at:  https://t.co/Y24acCDZ7f … #Ripple #XRP is now #2! #Litecoin #BitcoinCash #BitcoinGold #cryptocurrencies #Ethereum #ETH #Cardano #ADA #BCH #LTC #BTC #digitalcurrency #IOTA #DASH #money #MIOTA #XEM",en,"New Jersey, USA",United States,US,"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",JohnCoviello1,Sun Dec 31 14:00:37 +0000 2017,0,0,1,False,0,False,
Cardano $ADA new all time high! Last price: $0.72 USD,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 13:52:51 +0000 2017,0,0,2,False,0,False,
I liked a @YouTube video https://t.co/bnDTLIZtvH Cardano: Ethereum &amp; NEO Killer or Over-Price + Over Valued? / McAfee Loses Crypto,en,Louisiana,,,,johnnyarnaud1,Sun Dec 31 13:44:52 +0000 2017,0,0,0,False,0,False,
Ripple or Cardano: Which surging coin should you buy? https://t.co/Vk6imqbvcM via @findercomau,en,Heartbeat CT,,,,iseebitcoins,Sun Dec 31 13:44:05 +0000 2017,0,0,0,False,0,False,
