lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14
en,"Albuquerque, NM, USA",,,,viperstakepool,Wed Dec 30 19:13:15 +0000 2020,0,0,3,False,0,False,
en,"San Francisco, CA",,,,officialmudrex,Wed Dec 30 18:55:09 +0000 2020,0,0,0,False,0,False,
en,"St Petersburg, FL",,,,IdontInvets,Wed Dec 30 18:54:58 +0000 2020,0,0,0,False,0,False,
en,"California, USA",,,,cryptosandicos,Wed Dec 30 18:53:01 +0000 2020,0,0,0,False,0,False,
en,"Gainesville, Florida",,,,EricGamliel1,Wed Dec 30 18:49:39 +0000 2020,0,0,0,False,0,True,
en,United States,,,,RuLooking4This2,Wed Dec 30 18:20:12 +0000 2020,0,0,0,False,0,False,
en,United States,,,,TobiasFancee,Wed Dec 30 18:08:10 +0000 2020,0,8,3,False,0,True,
en,USA,,,,FanceePool,Wed Dec 30 18:04:10 +0000 2020,1,9,1,False,0,False,
en,"Edmond, Oklahoma",United States,US,"[[[-94.310407, 35.189247], [-94.310407, 35.2399], [-94.20093, 35.2399], [-94.20093, 35.189247]]]",lisamightydavis,Wed Dec 30 17:59:26 +0000 2020,0,1,0,False,0,False,
en,"Sioux Falls, SD",,,,LegacyofDave,Wed Dec 30 17:27:59 +0000 2020,0,0,0,False,0,False,
en,United States,,,,Everest_ADA,Wed Dec 30 17:05:26 +0000 2020,0,0,2,False,0,False,
en,New York,,,,RealSaidov,Wed Dec 30 16:45:12 +0000 2020,0,0,3,False,0,False,
en,"New York, NY",,,,BTCstJournal,Wed Dec 30 16:22:06 +0000 2020,0,0,0,False,0,False,
en,USA,,,,altcoinbonanza,Wed Dec 30 16:12:37 +0000 2020,0,0,0,False,0,False,
en,"Boise, ID",,,,PsyDeFi,Wed Dec 30 16:10:11 +0000 2020,0,0,0,False,0,False,
en,"Brooklyn, NY",,,,thecryptorep,Wed Dec 30 16:07:05 +0000 2020,0,0,0,False,0,False,
en,"New York, NY",,,,BTCstJournal,Wed Dec 30 16:03:45 +0000 2020,0,0,0,False,0,False,
en,USA,,,,anuraggupta2002,Wed Dec 30 15:51:59 +0000 2020,0,0,0,False,0,False,
en,"New York, NY",,,,davidgokhshtein,Wed Dec 30 15:51:37 +0000 2020,10,32,49,False,0,False,
en,"Cincinnati, OH",,,,jasonappleton,Wed Dec 30 15:24:24 +0000 2020,0,124,16,False,0,False,
en,United States,,,,RuLooking4This2,Wed Dec 30 15:16:04 +0000 2020,1,1,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 14:48:18 +0000 2020,0,0,0,False,0,False,
en,"Los Angeles, CA",,,,arbitragebot,Wed Dec 30 13:30:02 +0000 2020,0,0,0,False,0,False,
en,United States,,,,LlisahMarieGal,Wed Dec 30 13:24:44 +0000 2020,0,2,2,False,0,False,
en,"Atlanta, GA",,,,desota,Wed Dec 30 13:16:21 +0000 2020,0,0,0,False,0,False,
en,New York,,,,Paul95508348,Wed Dec 30 13:15:59 +0000 2020,1,26,5,False,0,False,
en,"Baltimore,  MD   (USA)",,,,carnellmcn,Wed Dec 30 12:29:32 +0000 2020,0,0,0,False,0,False,
en,United States,,,,fintechnewshub,Wed Dec 30 11:34:28 +0000 2020,0,0,0,False,0,False,
en,"San Diego, CA",,,,AdrianR77620616,Wed Dec 30 11:26:13 +0000 2020,0,0,0,False,0,False,
en,United States,,,,ICoinTime1,Wed Dec 30 10:54:00 +0000 2020,0,0,0,False,0,False,
en,"Detroit , Mi",,,,VapeAvenue_ADA,Wed Dec 30 10:01:07 +0000 2020,0,0,0,False,0,False,
en,Been around the world,,,,CryptoLos151,Wed Dec 30 09:18:24 +0000 2020,0,0,0,False,0,False,
en,"Portland, Oregon",,,,JasonThriver,Wed Dec 30 08:44:14 +0000 2020,0,0,2,False,0,False,
en,United States,,,,CryptoNDaily,Wed Dec 30 07:39:37 +0000 2020,0,0,0,False,0,False,
en,"Brooklyn, NY",,,,thecryptorep,Wed Dec 30 07:37:05 +0000 2020,0,0,0,False,0,False,
en,United States,,,,Everest_ADA,Wed Dec 30 07:05:22 +0000 2020,0,0,2,False,0,False,
en,"New York, NY",,,,BTCstJournal,Wed Dec 30 06:57:15 +0000 2020,0,0,0,False,0,False,
en,"San Diego, CA",,,,CryptoStyles_,Wed Dec 30 06:46:00 +0000 2020,0,0,0,False,0,False,
en,"New York, NY",,,,BTCstJournal,Wed Dec 30 06:15:50 +0000 2020,0,1,0,False,0,False,
en,,,,,ValencePool,Wed Dec 30 06:09:57 +0000 2020,0,0,0,False,0,False,
en,Verenigde Staten,,,,FBAN84,Wed Dec 30 04:38:25 +0000 2020,0,0,0,False,0,False,
en,"Hackensack, NJ",,,,KawaljeetMatta,Wed Dec 30 04:18:48 +0000 2020,0,0,0,False,0,False,
en,United States,,,,TobiasFancee,Wed Dec 30 04:17:27 +0000 2020,1,7,5,False,0,False,
en,TX,,,,iTweetuSleep,Wed Dec 30 04:06:14 +0000 2020,0,0,0,False,0,False,
en,United States,,,,CryptominingU,Wed Dec 30 04:00:12 +0000 2020,0,0,0,False,0,False,
en,GA,,,,Rebecca741776,Wed Dec 30 03:33:10 +0000 2020,1,1,1,False,0,True,
en,"Santa Cruz, California, USA",,,,NOWstakePOOL,Wed Dec 30 03:23:12 +0000 2020,0,0,1,False,0,False,
en,Denver ,,,,Swoops212,Wed Dec 30 03:18:06 +0000 2020,0,0,0,False,0,False,
en,"Los Angeles, CA",,,,CurryonCrypto,Wed Dec 30 03:15:38 +0000 2020,0,0,0,False,0,False,
en,"Tennessee, USA",,,,TennesseeStack1,Wed Dec 30 03:03:07 +0000 2020,0,0,0,False,0,False,
en,"Portland, Oregon",United States,US,"[[[-122.750195, 45.382216], [-122.750195, 45.44028], [-122.642587, 45.44028], [-122.642587, 45.382216]]]",JasonThriver,Wed Dec 30 03:00:29 +0000 2020,0,0,0,False,0,True,
en,USA,,,,erikwill,Wed Dec 30 01:15:19 +0000 2020,1,12,7,False,0,False,
en,USA,,,,erikwill,Wed Dec 30 01:13:28 +0000 2020,7,24,77,False,0,False,
en,USA,,,,erikwill,Wed Dec 30 01:10:27 +0000 2020,1,7,12,False,0,False,
en,United States,,,,aztrevor,Wed Dec 30 01:03:41 +0000 2020,0,0,0,False,0,False,
en,United States,,,,Crypto_Chiro,Wed Dec 30 00:40:29 +0000 2020,0,0,0,False,0,False,
en,CALIFORNIA,,,,JohnnybNetwork,Wed Dec 30 00:32:30 +0000 2020,0,0,2,False,0,True,
en,"Florida, USA",,,,SouthEastSt8kin,Wed Dec 30 00:22:21 +0000 2020,0,0,0,False,0,False,
en,United States,,,,CryptoREI,Wed Dec 30 00:02:14 +0000 2020,0,0,0,False,0,False,
en,"Atlanta, GA",,,,desota,Wed Dec 30 00:01:40 +0000 2020,0,0,0,False,0,False,
en,"New York, NY",,,,CryptoWatchBot,Wed Dec 30 00:00:13 +0000 2020,0,0,0,False,0,False,
en,Mid Atlantic,,,,crabbermike,Tue Dec 29 23:45:05 +0000 2020,1,0,7,False,0,False,
en,"Boulder, CO",,,,IMOK_Charles,Tue Dec 29 23:44:58 +0000 2020,0,0,0,False,0,False,
en,"Florida, USA",,,,SouthEastSt8kin,Tue Dec 29 23:42:56 +0000 2020,0,0,0,False,0,False,
en,Philly Burbs,,,,theeccentricowl,Tue Dec 29 23:39:55 +0000 2020,0,0,0,False,0,True,
en,"New York, NY",,,,BTCstJournal,Tue Dec 29 23:38:21 +0000 2020,0,0,0,False,0,False,
en,United States,,,,fintechnewshub,Tue Dec 29 23:33:55 +0000 2020,0,0,0,False,0,False,
en,defishare.crypto,,,,defishare,Tue Dec 29 23:22:32 +0000 2020,0,0,0,False,0,False,
en,Moon 👽 Mars,,,,LunarCRUSHbot,Tue Dec 29 23:01:13 +0000 2020,0,1,0,False,0,False,
en,United States,,,,emurgo_io,Tue Dec 29 22:59:04 +0000 2020,4,8,23,False,0,False,
en,"Phoenix, AZ",,,,thomascusack,Tue Dec 29 22:49:17 +0000 2020,0,0,9,False,0,False,
en,"Ann Arbor, Michigan",,,,Psarouthakis,Tue Dec 29 22:42:20 +0000 2020,0,0,0,False,0,False,
en,"Sioux Falls, SD",,,,LegacyofDave,Tue Dec 29 22:40:44 +0000 2020,0,0,0,False,0,False,
en,"Los Angeles, CA",,,,r_gspan,Tue Dec 29 22:28:53 +0000 2020,0,0,0,False,0,False,
en,Mars ,,,,JoeyStakePool,Tue Dec 29 22:28:39 +0000 2020,0,25,3,False,0,False,
en,"New York, USA",,,,bitcointe,Tue Dec 29 22:23:54 +0000 2020,0,0,0,False,0,False,
en,"Boulder, CO",,,,IMOK_Charles,Tue Dec 29 22:09:33 +0000 2020,0,0,1,False,0,True,
en,"Wyoming, USA",,,,InputOutputHK,Tue Dec 29 22:01:02 +0000 2020,3,9,35,False,0,False,
en,"Kissimmee, FL",,,,GuillermoRodil,Tue Dec 29 21:59:15 +0000 2020,0,1,0,False,0,False,
en,"Dallas, TX",,,,CarsCrypto,Tue Dec 29 21:57:27 +0000 2020,0,0,0,False,0,False,
en,"Boston, MA",,,,BitcoinMktJrnl,Tue Dec 29 21:55:50 +0000 2020,0,0,2,False,0,False,
en,"Florida, USA",,,,SouthEastSt8kin,Tue Dec 29 21:49:13 +0000 2020,0,0,0,False,0,False,
en,Mid Atlantic,,,,crabbermike,Tue Dec 29 21:47:58 +0000 2020,0,1,3,False,0,False,
en,"California, USA",,,,mjmmtu,Tue Dec 29 21:34:36 +0000 2020,0,0,0,False,0,True,
en,Pacific Northwest,,,,notmyrealemails,Tue Dec 29 21:29:17 +0000 2020,0,0,0,False,0,True,
en,New York,,,,RealSaidov,Tue Dec 29 21:27:34 +0000 2020,0,10,0,False,0,False,
en,USA,,,,yoda_crypt0,Tue Dec 29 20:47:29 +0000 2020,0,2,0,False,0,False,
en,Upstate SC,,,,scbill88,Tue Dec 29 20:42:08 +0000 2020,0,0,0,False,0,True,
en,"San Diego, CA",,,,rom1_pellerin,Tue Dec 29 19:59:52 +0000 2020,1,3,8,False,0,True,
en,"Los Angeles, CA",,,,NA8STRADAMUS,Tue Dec 29 19:51:28 +0000 2020,0,0,0,False,0,False,
en,Mcdermott Ohio,,,,HoymeBrandon,Tue Dec 29 19:44:27 +0000 2020,0,1,0,False,0,False,
en,USA,,,,webnowcompany,Tue Dec 29 19:41:29 +0000 2020,0,0,0,False,0,False,
en,,,,,ValencePool,Tue Dec 29 19:22:07 +0000 2020,0,0,0,False,0,False,
en,"Carlsbad, CA",,,,MRodrig77244461,Tue Dec 29 18:49:42 +0000 2020,0,0,0,False,0,False,
en,USA,,,,Dr_shwetaPHD,Tue Dec 29 18:40:55 +0000 2020,0,0,1,False,0,False,
en,USA,,,,Wikipediathiss,Tue Dec 29 18:19:34 +0000 2020,0,0,0,False,0,False,
en,"Los Angeles, CA",,,,r_gspan,Tue Dec 29 18:03:26 +0000 2020,0,0,0,False,0,False,
en,"Moon, PA",,,,KingCardano,Tue Dec 29 17:56:51 +0000 2020,1,6,9,False,0,True,
en,United States,,,,TobiasFancee,Tue Dec 29 17:43:36 +0000 2020,0,16,7,False,0,True,
en,"Blackwood, NJ",,,,I_Will_Win_85,Tue Dec 29 17:31:49 +0000 2020,0,0,0,False,0,False,
en,"Wyoming, USA",,,,InputOutputHK,Tue Dec 29 17:30:14 +0000 2020,32,16,157,False,0,False,
en,United States,,,,BitcoinTre,Tue Dec 29 17:17:00 +0000 2020,0,1,2,False,0,False,
en,United States,,,,TobiasFancee,Tue Dec 29 17:15:15 +0000 2020,2,7,6,False,0,False,
en,Raleigh NC,,,,jakestpeter,Tue Dec 29 17:09:37 +0000 2020,0,0,0,False,0,True,
en,"Cincinnati, OH",,,,jasonappleton,Tue Dec 29 17:08:13 +0000 2020,2,4,10,False,0,False,
en,"Boston, MA",,,,reachlang,Tue Dec 29 16:47:26 +0000 2020,0,0,2,False,0,False,
en,"Irvine, CA",,,,csa3dcom,Tue Dec 29 16:32:12 +0000 2020,0,0,0,False,0,False,
en,"Los Angeles, CA",,,,vaadpodcast,Tue Dec 29 16:15:37 +0000 2020,0,0,0,False,0,True,
en,Usa,,,,SmartMoneyM,Tue Dec 29 16:13:26 +0000 2020,0,0,0,False,0,False,
en,"Texas, USA",,,,cmak19,Tue Dec 29 16:10:32 +0000 2020,0,1,0,False,0,False,
en,New York,,,,RealSaidov,Tue Dec 29 16:00:17 +0000 2020,0,1,3,False,0,False,
en,"Chicago, IL",,,,K9KStaking,Tue Dec 29 15:48:43 +0000 2020,0,0,0,False,0,False,
en,"Boulder, Colorado",,,,SAGE_Cardano,Tue Dec 29 15:41:25 +0000 2020,0,0,0,False,0,False,
en,"Orange County, California",,,,LunarCRUSH,Tue Dec 29 15:32:31 +0000 2020,4,3,11,False,0,False,
en,"Brooklyn, NY",,,,garrygolden,Tue Dec 29 14:58:32 +0000 2020,0,1,0,False,0,False,
en,Moon 👽 Mars,,,,LunarCRUSHbot,Tue Dec 29 14:02:13 +0000 2020,1,0,2,False,0,False,
en,"Los Angeles, CA",,,,EthereumWest,Tue Dec 29 14:01:02 +0000 2020,0,0,0,False,0,False,
en,"Charleston, SC",,,,Akillmoe,Tue Dec 29 14:00:25 +0000 2020,0,0,0,False,0,False,
en,"Fairfield, CT",,,,vixcontango,Tue Dec 29 13:41:52 +0000 2020,0,1,0,False,0,False,
en,USA,,,,webnowcompany,Tue Dec 29 13:37:35 +0000 2020,0,1,0,False,0,False,
en,USA,,,,webnowcompany,Tue Dec 29 13:37:35 +0000 2020,0,0,0,False,0,False,
en,"Los Angeles, CA",,,,NA8STRADAMUS,Tue Dec 29 13:33:40 +0000 2020,0,0,0,False,0,False,
